Epoch,Average_Reward,Best_Reward,Loss,Marginal_Gains,Duplicate_Rate
0,5.1625,5.1625,0.033397,2.6625,5.00
1,6.7000,6.7000,-0.063923,6.7000,0.00
2,5.2750,6.7000,-0.006616,5.2750,0.00
3,6.1375,6.7000,0.011221,4.8875,2.50
4,5.8000,6.7000,-0.058202,4.5500,2.50
5,6.5125,6.7000,-0.094257,6.5125,0.00
6,4.9125,6.7000,-0.025206,3.6625,2.50
7,5.8250,6.7000,0.005268,3.3250,5.00
8,6.2250,6.7000,-0.086082,4.9750,2.50
9,6.6500,6.7000,-0.044345,5.4000,2.50
10,5.6625,6.7000,0.030593,4.4125,2.50
11,5.9500,6.7000,0.132329,4.7000,2.50
12,5.4375,6.7000,-0.063654,4.1875,2.50
13,6.1375,6.7000,-0.052936,6.1375,0.00
14,5.8250,6.7000,-0.058346,4.5750,2.50
15,4.6125,6.7000,0.024893,3.3625,2.50
16,5.3000,6.7000,0.000260,4.0500,2.50
17,5.5375,6.7000,-0.091299,3.0375,5.00
18,5.2750,6.7000,0.007501,2.7750,5.00
19,4.9375,6.7000,0.019792,3.6875,2.50
20,4.9375,6.7000,-0.004615,-0.0625,10.00
21,5.3125,6.7000,0.111347,4.0625,2.50
22,4.7625,6.7000,-0.110148,3.5125,2.50
23,4.7500,6.7000,0.080414,3.5000,2.50
24,5.4875,6.7000,-0.044234,2.9875,5.00
25,6.2000,6.7000,0.024324,4.9500,2.50
26,5.5500,6.7000,0.006975,5.5500,0.00
27,5.3750,6.7000,-0.038645,4.1250,2.50
28,6.4125,6.7000,-0.051549,5.1625,2.50
29,5.4750,6.7000,-0.138329,5.4750,0.00
30,5.8750,6.7000,0.022372,5.8750,0.00
31,6.1750,6.7000,0.015328,2.4250,7.50
32,6.0250,6.7000,-0.066334,3.5250,5.00
33,5.6375,6.7000,-0.052536,4.3875,2.50
34,5.5625,6.7000,0.047669,4.3125,2.50
35,6.3000,6.7000,0.013967,6.3000,0.00
36,4.9625,6.7000,-0.080696,3.7125,2.50
37,6.8500,6.8500,-0.026364,5.6000,2.50
38,5.5000,6.8500,0.022652,3.0000,5.00
39,5.7750,6.8500,-0.142138,2.0250,7.50
40,6.0750,6.8500,0.134440,2.3250,7.50
41,5.9500,6.8500,-0.123746,3.4500,5.00
42,5.8875,6.8500,0.133317,3.3875,5.00
43,5.9000,6.8500,0.043991,4.6500,2.50
44,6.4000,6.8500,0.199508,6.4000,0.00
45,5.2875,6.8500,0.047699,2.7875,5.00
46,5.2875,6.8500,-0.077950,4.0375,2.50
47,6.1625,6.8500,-0.227487,4.9125,2.50
48,5.2000,6.8500,0.012495,1.4500,7.50
49,5.3500,6.8500,-0.194028,2.8500,5.00
50,5.8875,6.8500,-0.066109,5.8875,0.00
51,5.8750,6.8500,0.157790,4.6250,2.50
52,5.6750,6.8500,0.085360,3.1750,5.00
53,6.0875,6.8500,-0.046424,3.5875,5.00
54,5.2250,6.8500,-0.041877,3.9750,2.50
55,5.2875,6.8500,-0.031060,4.0375,2.50
56,6.5375,6.8500,0.003587,4.0375,5.00
57,5.3625,6.8500,0.210170,4.1125,2.50
58,5.8625,6.8500,-0.003687,4.6125,2.50
59,4.8000,6.8500,-0.061989,-0.2000,10.00
60,5.8875,6.8500,-0.010926,4.6375,2.50
61,6.1625,6.8500,0.065565,4.9125,2.50
62,6.5125,6.8500,-0.017232,4.0125,5.00
63,5.4875,6.8500,0.174626,2.9875,5.00
64,5.6000,6.8500,-0.186671,1.8500,7.50
65,6.6875,6.8500,-0.044625,6.6875,0.00
66,5.8250,6.8500,0.015436,2.0750,7.50
67,4.9250,6.8500,0.040460,2.4250,5.00
68,6.5375,6.8500,-0.004330,6.5375,0.00
69,4.9500,6.8500,0.128375,4.9500,0.00
70,6.0875,6.8500,-0.130527,6.0875,0.00
71,6.1125,6.8500,-0.142999,4.8625,2.50
72,6.5500,6.8500,-0.224289,5.3000,2.50
73,6.4125,6.8500,0.089347,3.9125,5.00
74,6.2000,6.8500,-0.167542,4.9500,2.50
75,5.8875,6.8500,-0.104121,5.8875,0.00
76,5.7125,6.8500,-0.025415,4.4625,2.50
77,6.0750,6.8500,-0.365073,6.0750,0.00
78,5.7000,6.8500,-0.219338,5.7000,0.00
79,6.0125,6.8500,0.099483,6.0125,0.00
80,6.3250,6.8500,-0.196223,3.8250,5.00
81,5.7500,6.8500,0.224808,4.5000,2.50
82,5.0875,6.8500,0.151008,1.3375,7.50
83,6.4750,6.8500,-0.223148,5.2250,2.50
84,6.4500,6.8500,-0.356642,5.2000,2.50
85,5.7125,6.8500,-0.263486,1.9625,7.50
86,5.6750,6.8500,0.265464,4.4250,2.50
87,5.9875,6.8500,-0.056974,4.7375,2.50
88,6.0000,6.8500,0.049778,2.2500,7.50
89,5.6750,6.8500,0.308147,4.4250,2.50
90,6.2750,6.8500,0.068945,5.0250,2.50
91,6.3875,6.8500,-0.536229,5.1375,2.50
92,6.8000,6.8500,0.201402,5.5500,2.50
93,5.7875,6.8500,-0.186799,2.0375,7.50
94,5.4000,6.8500,0.347520,5.4000,0.00
95,7.4875,7.4875,-0.208634,6.2375,2.50
96,6.0000,7.4875,0.666408,3.5000,5.00
97,5.6750,7.4875,0.506659,3.1750,5.00
98,6.2625,7.4875,0.282297,1.2625,10.00
99,5.6875,7.4875,0.504297,5.6875,0.00
100,6.2250,7.4875,1.132227,2.4750,7.50
101,6.4250,7.4875,1.087222,3.9250,5.00
102,6.8625,7.4875,0.586256,6.8625,0.00
103,6.1000,7.4875,0.632857,4.8500,2.50
104,7.3625,7.4875,0.210246,6.1125,2.50
105,7.1875,7.4875,0.982696,7.1875,0.00
106,5.3750,7.4875,-0.456893,4.1250,2.50
107,6.0875,7.4875,-0.045563,4.8375,2.50
108,6.1875,7.4875,0.315949,6.1875,0.00
109,6.1500,7.4875,0.259155,6.1500,0.00
110,6.4250,7.4875,1.073332,3.9250,5.00
111,6.2875,7.4875,0.314649,5.0375,2.50
112,5.7500,7.4875,0.331200,3.2500,5.00
113,5.8875,7.4875,-0.249048,4.6375,2.50
114,6.6500,7.4875,0.307425,6.6500,0.00
115,6.2750,7.4875,-0.409622,3.7750,5.00
116,6.9625,7.4875,1.126330,5.7125,2.50
117,6.4875,7.4875,0.520666,5.2375,2.50
118,6.5375,7.4875,0.828183,2.7875,7.50
119,5.2750,7.4875,-0.445392,1.5250,7.50
120,5.7125,7.4875,0.236691,3.2125,5.00
121,6.0750,7.4875,0.631032,4.8250,2.50
122,6.4375,7.4875,0.715563,5.1875,2.50
123,6.4875,7.4875,0.005847,5.2375,2.50
124,6.0625,7.4875,-0.096453,6.0625,0.00
125,5.9000,7.4875,0.029326,4.6500,2.50
126,5.4250,7.4875,0.019709,4.1750,2.50
127,5.0750,7.4875,-0.142722,1.3250,7.50
128,4.8375,7.4875,-0.148750,1.0875,7.50
129,5.8500,7.4875,0.315934,0.8500,10.00
130,5.8250,7.4875,-0.324500,3.3250,5.00
131,6.6625,7.4875,0.007588,1.6625,10.00
