Epoch,Average_Reward,Best_Reward,Loss,Marginal_Gains,Duplicate_Rate
0,3.8500,3.8500,-1.216217,3.8500,0.00
1,4.0375,4.0375,-1.257814,4.0375,0.00
2,4.2125,4.2125,-1.201529,4.2125,5.00
3,4.9500,4.9500,-1.239570,4.9500,5.00
4,4.3750,4.9500,-1.239282,4.3750,2.50
5,5.1625,5.1625,-1.224800,5.1625,2.50
6,4.1125,5.1625,-1.251303,4.1125,10.00
7,4.2375,5.1625,-1.246823,4.2375,2.50
8,5.2000,5.2000,-1.267492,5.2000,2.50
9,3.6000,5.2000,-1.222304,3.6000,0.00
10,4.7750,5.2000,-1.238850,4.7750,0.00
11,4.3500,5.2000,-1.243216,4.3500,5.00
12,5.6625,5.6625,-1.220023,5.6625,2.50
13,5.1000,5.6625,-1.207540,5.1000,2.50
14,5.0625,5.6625,-1.252257,5.0625,0.00
15,4.9125,5.6625,-1.252947,4.9125,7.50
16,4.3875,5.6625,-1.240677,4.3875,7.50
17,5.4375,5.6625,-1.252022,5.4375,2.50
18,4.5125,5.6625,-1.294049,4.5125,0.00
19,4.5750,5.6625,-1.206024,4.5750,2.50
20,4.8625,5.6625,-1.283862,4.8625,5.00
21,4.5250,5.6625,-1.286519,4.5250,2.50
22,4.8375,5.6625,-1.268049,4.8375,0.00
23,5.0625,5.6625,-1.280610,5.0625,2.50
24,4.7250,5.6625,-1.292274,4.7250,2.50
25,5.1000,5.6625,-1.309188,5.1000,5.00
26,5.2875,5.6625,-1.247584,5.2875,5.00
27,4.5000,5.6625,-1.315990,4.5000,5.00
28,5.0375,5.6625,-1.354820,5.0375,0.00
29,5.9500,5.9500,-1.229719,5.9500,2.50
30,4.4375,5.9500,-1.291756,4.4375,0.00
31,5.0875,5.9500,-1.310028,5.0875,7.50
32,5.0625,5.9500,-1.329910,5.0625,2.50
33,5.5875,5.9500,-1.169040,5.5875,5.00
34,5.9125,5.9500,-1.310620,5.9125,5.00
35,5.3875,5.9500,-1.279401,5.3875,2.50
36,5.7875,5.9500,-1.322061,5.7875,5.00
37,6.6250,6.6250,-1.391203,6.6250,2.50
38,6.3250,6.6250,-1.298036,6.3250,0.00
39,6.3750,6.6250,-1.260810,6.3750,10.00
40,6.0625,6.6250,-1.382470,6.0625,0.00
41,6.1250,6.6250,-1.404749,6.1250,5.00
42,6.2375,6.6250,-1.252163,6.2375,7.50
