Epoch,Average_Reward,Best_Reward,Loss,Marginal_Gains,Duplicate_Rate
0,4.8875,4.8875,-0.013179,4.8875,2.50
1,6.1000,6.1000,-0.018789,6.1000,0.00
2,6.4250,6.4250,0.020200,6.4250,0.00
3,5.5500,6.4250,-0.032698,5.5500,5.00
4,6.5000,6.5000,-0.076621,6.5000,2.50
5,4.9500,6.5000,0.013277,4.9500,5.00
6,5.4125,6.5000,0.014006,5.4125,5.00
7,6.0125,6.5000,-0.028937,6.0125,5.00
8,7.0375,7.0375,0.001402,7.0375,0.00
9,5.1500,7.0375,-0.035211,5.1500,5.00
10,5.8250,7.0375,0.068369,5.8250,0.00
11,6.5625,7.0375,0.030046,6.5625,2.50
12,5.2125,7.0375,-0.048445,5.2125,2.50
13,5.3875,7.0375,-0.073535,5.3875,5.00
14,4.9750,7.0375,-0.075009,4.9750,2.50
15,4.9875,7.0375,0.034199,4.9875,2.50
16,5.8125,7.0375,0.088098,5.8125,5.00
17,4.3375,7.0375,0.029850,4.3375,7.50
18,6.3750,7.0375,0.121278,6.3750,5.00
19,4.9875,7.0375,0.004151,4.9875,0.00
20,5.3750,7.0375,0.078083,5.3750,5.00
21,5.7500,7.0375,-0.033920,5.7500,5.00
22,5.5000,7.0375,0.023651,5.5000,2.50
23,5.9375,7.0375,0.029138,5.9375,2.50
24,5.5500,7.0375,0.027348,5.5500,5.00
25,5.9375,7.0375,0.012811,5.9375,2.50
26,5.3625,7.0375,0.089414,5.3625,7.50
27,5.7750,7.0375,0.076179,5.7750,5.00
28,6.1000,7.0375,0.004208,6.1000,5.00
29,5.1750,7.0375,0.032291,5.1750,0.00
30,5.7000,7.0375,-0.088326,5.7000,0.00
31,6.1375,7.0375,-0.113727,6.1375,0.00
32,6.0375,7.0375,-0.037491,6.0375,2.50
33,5.0000,7.0375,-0.045993,5.0000,5.00
34,5.6750,7.0375,0.012313,5.6750,0.00
35,5.1875,7.0375,0.025658,5.1875,2.50
36,5.8750,7.0375,0.110859,5.8750,7.50
37,5.5875,7.0375,0.029189,5.5875,2.50
38,5.3250,7.0375,-0.048801,5.3250,0.00
39,5.0875,7.0375,0.007941,5.0875,2.50
40,5.0750,7.0375,0.205852,5.0750,10.00
41,6.4875,7.0375,-0.004727,6.4875,0.00
42,5.7500,7.0375,-0.048664,5.7500,2.50
43,6.0875,7.0375,-0.097616,6.0875,0.00
44,6.9250,7.0375,0.017344,6.9250,7.50
45,6.4625,7.0375,0.064188,6.4625,2.50
46,5.8875,7.0375,-0.146817,5.8875,5.00
47,5.8375,7.0375,0.170558,5.8375,0.00
48,6.3125,7.0375,0.135918,6.3125,0.00
49,6.3375,7.0375,-0.153573,6.3375,0.00
50,5.5875,7.0375,0.099654,5.5875,2.50
51,5.2000,7.0375,0.056784,5.2000,2.50
52,5.3000,7.0375,-0.115768,5.3000,0.00
53,5.8625,7.0375,-0.062072,5.8625,0.00
54,5.4625,7.0375,0.054265,5.4625,2.50
55,6.2875,7.0375,0.050063,6.2875,0.00
56,5.6750,7.0375,0.012947,5.6750,7.50
57,4.7125,7.0375,-0.082918,4.7125,5.00
58,5.3125,7.0375,0.095964,5.3125,0.00
59,5.6125,7.0375,0.000482,5.6125,2.50
60,5.2875,7.0375,0.034668,5.2875,2.50
61,6.2000,7.0375,0.055215,6.2000,5.00
62,6.2625,7.0375,-0.015322,6.2625,2.50
63,6.2625,7.0375,-0.046130,6.2625,0.00
64,6.7625,7.0375,-0.040159,6.7625,5.00
65,5.7625,7.0375,0.092562,5.7625,2.50
66,6.6750,7.0375,0.014348,6.6750,0.00
67,5.7500,7.0375,-0.026915,5.7500,0.00
68,5.8750,7.0375,-0.087810,5.8750,5.00
69,4.7500,7.0375,-0.015918,4.7500,2.50
70,5.3500,7.0375,0.016133,5.3500,5.00
71,4.7875,7.0375,0.069860,4.7875,2.50
72,6.0250,7.0375,0.009213,6.0250,2.50
